Tools,AlexNet,CifarNet,GRU,LSTM,ResNet,SqueezeNet 600,b+tree,bfs,gaussian 1024,hotspot,hotspot3D,lud 10240,lavaMD 100,nn inputGen,particle_n,particle_f,sradv1,sradv2 (error occurred),backprop 100000,dwt2d,heartwall,needle,pf 1000000 200 1,conv2D 40960 40960,conv3D 2560 2560 2560,adi 1024 1024,bicg 40960 40960,covar 20480 20480,fdtd 1000 20480 20480,gemver 40960,gs 8192,jacobi1d,jacobi2d 200 10000,mvt 10000,2mm 4096,3mm 4096,atax 40960,corr 40960,doitgen 1280,gemm 40960,gesummv 40960,lu 20480,llama2,llama3
vanilla,1.32,1.05,1.29,1.61,1.35,0.81,1.31,1.31,0.11,1.31,1.32,1.55,14.67,0.079,1.33,1.32,1.33,1.39,1.33,1.63,1.67,0.495,1.96,1.54,2.16,13.09,0.43,144.91,11.16,0.44,36.7,1.42,1.72,0.47,0.19,0.29,0.47,144.58,7.31,91.63,0.83,10.14,55.13,26.77
CuSan,1.34,1.08,1.3,1.61,1.39,0.9,1.32,1.32,0.11,1.31,1.32,1.79,14.69,0.088,1.34,1.33,1.34,1.42,1.33,1.63,1.73,0.605,2.91,1.65,2.26,14.14,0.45,182.61,11.66,0.47,53.99,1.44,1.78,0.5,0.33,0.49,0.49,183.41,8.26,168.13,0.84,13.25,53.25,22.01
compute-sanitizer,1.56,1.28,1.32,1.63,2.03,3.51,1.38,1.34,0.24,1.32,1.43,25.2,36.34,0.097,1.37,1.4,1.5,2.83,1.34,1.76,10.21,17.75,3.91,2.84,3.6,96.94,1.16,2105.76,468.64,1.91,184.61,1.93,13.91,6.53,29.44,42.84,6.62,2097.69,586.92,nan,1.81,nan,1.11,0.14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unopt,1.34,1.08,1.32,1.63,1.39,0.95,1.32,1.32,0.11,1.31,1.32,1.86,14.71,0.088,1.39,1.33,1.34,1.47,1.33,1.66,1.77,0.61,2.92,1.67,2.27,14.31,0.45,187.77,11.87,0.47,58.92,1.44,1.78,0.51,0.37,0.54,0.51,184.52,11.08,180.84,0.85,13.47,49.27,19.25
percent,1,1,0.9848484848,0.9877300613,1,0.9473684211,1,1,1,1,1,0.9623655914,0.9986403807,1,0.964028777,1,1,0.9659863946,1,0.9819277108,0.9774011299,0.9918032787,0.9965753425,0.9880239521,0.9955947137,0.9881201957,1,0.9725195718,0.9823083404,1,0.9163272234,1,1,0.9803921569,0.8918918919,0.9074074074,0.9607843137,0.9939843919,0.7454873646,0.9297168768,0.9882352941,0.9836674091,1.080779379,1.143376623
average,0.9757889685,1.112078001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
